ID,Model,ModelParameters,TransformationParameters,Ensemble
2af949d6d8183f9ebe826f4e31a4492a,UnivariateMotif,"{""window"": 10, ""point_method"": ""weighted_mean"", ""distance_metric"": ""chebyshev"", ""k"": 3, ""max_windows"": 10000}","{""fillna"": ""rolling_mean"", ""transformations"": {""0"": ""Detrend"", ""1"": ""MinMaxScaler"", ""2"": ""Detrend""}, ""transformation_params"": {""0"": {""model"": ""GLS"", ""phi"": 1, ""window"": null}, ""1"": {}, ""2"": {""model"": ""Linear"", ""phi"": 1, ""window"": null}}}",0
2af949d6d8183f9ebe826f4e31a4492a,UnivariateMotif,"{""window"": 10, ""point_method"": ""weighted_mean"", ""distance_metric"": ""chebyshev"", ""k"": 3, ""max_windows"": 10000}","{""fillna"": ""rolling_mean"", ""transformations"": {""0"": ""Detrend"", ""1"": ""MinMaxScaler"", ""2"": ""Detrend""}, ""transformation_params"": {""0"": {""model"": ""GLS"", ""phi"": 1, ""window"": null}, ""1"": {}, ""2"": {""model"": ""Linear"", ""phi"": 1, ""window"": null}}}",0
017cf0ff5ee385f46aee9a92eaf06e97,UnivariateMotif,"{""window"": 10, ""point_method"": ""weighted_mean"", ""distance_metric"": ""mahalanobis"", ""k"": 5, ""max_windows"": 10000}","{""fillna"": ""fake_date"", ""transformations"": {""0"": ""Detrend"", ""1"": ""MinMaxScaler"", ""2"": ""Detrend"", ""3"": ""ClipOutliers""}, ""transformation_params"": {""0"": {""model"": ""GLS"", ""phi"": 1, ""window"": null}, ""1"": {}, ""2"": {""model"": ""Linear"", ""phi"": 1, ""window"": null}, ""3"": {""method"": ""clip"", ""std_threshold"": 4, ""fillna"": null}}}",0
4a8cf172305296bc49426b44dd923210,UnivariateMotif,"{""window"": 10, ""point_method"": ""weighted_mean"", ""distance_metric"": ""chebyshev"", ""k"": 3, ""max_windows"": 10000}","{""fillna"": ""rolling_mean"", ""transformations"": {""0"": ""ClipOutliers"", ""1"": ""MinMaxScaler"", ""2"": ""Detrend""}, ""transformation_params"": {""0"": {""method"": ""clip"", ""std_threshold"": 3.5, ""fillna"": null}, ""1"": {}, ""2"": {""model"": ""Linear"", ""phi"": 1, ""window"": null}}}",0
315df43d2c94ef1a354f11e548772b3d,VAR,"{""regression_type"": null, ""maxlags"": null, ""ic"": ""bic""}","{""fillna"": ""rolling_mean"", ""transformations"": {""0"": ""Detrend"", ""1"": ""MinMaxScaler"", ""2"": ""Detrend""}, ""transformation_params"": {""0"": {""model"": ""GLS"", ""phi"": 1, ""window"": null}, ""1"": {}, ""2"": {""model"": ""Linear"", ""phi"": 1, ""window"": null}}}",0
36b6b52329b79864588fb83cd3ab6a5b,VAR,"{""regression_type"": null, ""maxlags"": null, ""ic"": ""aic""}","{""fillna"": ""ffill"", ""transformations"": {""0"": ""Detrend"", ""1"": ""MinMaxScaler""}, ""transformation_params"": {""0"": {""model"": ""GLS"", ""phi"": 1, ""window"": null}, ""1"": {}}}",0
6cb9af4ccb1fdd0f4860a7453e052801,VAR,"{""regression_type"": null, ""maxlags"": null, ""ic"": ""aic""}","{""fillna"": ""rolling_mean"", ""transformations"": {""0"": ""Detrend"", ""1"": ""MinMaxScaler"", ""2"": ""Detrend""}, ""transformation_params"": {""0"": {""model"": ""GLS"", ""phi"": 1, ""window"": null, ""transform_dict"": {""fillna"": ""KNNImputer"", ""transformations"": {""0"": ""MaxAbsScaler""}, ""transformation_params"": {""0"": {}}}}, ""1"": {}, ""2"": {""model"": ""Linear"", ""phi"": 1, ""window"": null}}}",0
30811c10adae0f82add75606bafd59a4,WindowRegression,"{""window_size"": 10, ""input_dim"": ""univariate"", ""output_dim"": ""forecast_length"", ""normalize_window"": false, ""max_windows"": 5000, ""regression_type"": null, ""regression_model"": {""model"": ""KNN"", ""model_params"": {""n_neighbors"": 10, ""weights"": ""uniform"", ""p"": 2, ""leaf_size"": 30}}}","{""fillna"": ""ffill"", ""transformations"": {""0"": ""Detrend"", ""1"": ""MinMaxScaler"", ""2"": ""Detrend""}, ""transformation_params"": {""0"": {""model"": ""GLS"", ""phi"": 1, ""window"": null}, ""1"": {}, ""2"": {""model"": ""Linear"", ""phi"": 1, ""window"": null}}}",0
0765cf826cca8a88017aaafcaf536f6d,WindowRegression,"{""window_size"": 10, ""input_dim"": ""univariate"", ""output_dim"": ""forecast_length"", ""normalize_window"": false, ""max_windows"": 5000, ""regression_type"": null, ""regression_model"": {""model"": ""KNN"", ""model_params"": {""n_neighbors"": 10, ""weights"": ""uniform"", ""p"": 2, ""leaf_size"": 30}}}","{""fillna"": ""ffill"", ""transformations"": {""0"": ""Detrend"", ""1"": ""ClipOutliers"", ""2"": ""Detrend""}, ""transformation_params"": {""0"": {""model"": ""GLS"", ""phi"": 1, ""window"": null}, ""1"": {""method"": ""clip"", ""std_threshold"": 3, ""fillna"": null}, ""2"": {""model"": ""Linear"", ""phi"": 1, ""window"": null}}}",0
af1f51136fcf74c5894d99d09439d1fb,SectionalMotif,"{""window"": 10, ""point_method"": ""midhinge"", ""distance_metric"": ""braycurtis"", ""include_differenced"": true, ""k"": 10, ""stride_size"": 1, ""regression_type"": null}","{""fillna"": ""ffill"", ""transformations"": {""0"": ""MinMaxScaler"", ""1"": ""Detrend"", ""2"": ""LocalLinearTrend"", ""3"": ""bkfilter""}, ""transformation_params"": {""0"": {}, ""1"": {""model"": ""Linear"", ""phi"": 1, ""window"": null, ""transform_dict"": null}, ""2"": {""rolling_window"": 0.1, ""n_tails"": 0.1, ""n_future"": 0.2, ""method"": ""mean""}, ""3"": {}}}",0
